Phone	Manner	Place	Frontage	Openness	Voiced	Rounded	Rhotic	Lateral	Strident	Sibilant	f1	f2
n	5_NASAL	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɳ	5_NASAL	6_RETROFLEX	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɲ	5_NASAL	7_PALATAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ŋ	5_NASAL	8_VELAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɴ	5_NASAL	9_UVULAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ĩ	6_VOWEL	C_VOWEL	0_FRONT	0_CLOSED	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	240	2400
i	6_VOWEL	C_VOWEL	0_FRONT	0_CLOSED	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	240	2400
ɨ	6_VOWEL	C_VOWEL	2_CENTRAL	0_CLOSED	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	270	1895
ɯ	6_VOWEL	C_VOWEL	4_BACK	0_CLOSED	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	300	1390
ɪ	6_VOWEL	C_VOWEL	1_NEAR_FRONT	1_NEAR_CLOSED	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	333	2103
ẽ	6_VOWEL	C_VOWEL	0_FRONT	2_CLOSED_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	390	2300
ê	6_VOWEL	C_VOWEL	0_FRONT	2_CLOSED_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	390	2300
e	6_VOWEL	C_VOWEL	0_FRONT	2_CLOSED_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	390	2300
ɘ	6_VOWEL	C_VOWEL	2_CENTRAL	2_CLOSED_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	425	1805
ɤ	6_VOWEL	C_VOWEL	4_BACK	2_CLOSED_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	460	1310
ə	6_VOWEL	C_VOWEL	2_CENTRAL	3_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	515	1670
ʌ	6_VOWEL	C_VOWEL	4_BACK	4_OPEN_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	600	1170
ɜ	6_VOWEL	C_VOWEL	2_CENTRAL	4_OPEN_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	605	1535
ɛ	6_VOWEL	C_VOWEL	0_FRONT	4_OPEN_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	610	1900
ε	6_VOWEL	C_VOWEL	0_FRONT	4_OPEN_MID	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	610	1900
ɐ	6_VOWEL	C_VOWEL	2_CENTRAL	5_NEAR_OPEN	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	665	1465
æ	6_VOWEL	C_VOWEL	0_FRONT	5_NEAR_OPEN	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	730	1760
ɑ	6_VOWEL	C_VOWEL	4_BACK	6_OPEN	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	750	940
ä	6_VOWEL	C_VOWEL	2_CENTRAL	6_OPEN	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	800	1275
ã	6_VOWEL	C_VOWEL	0_FRONT	6_OPEN	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	850	1610
a	6_VOWEL	C_VOWEL	0_FRONT	6_OPEN	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	850	1610
y	6_VOWEL	C_VOWEL	0_FRONT	0_CLOSED	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	235	2100
ʉ	6_VOWEL	C_VOWEL	2_CENTRAL	0_CLOSED	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	243	1348
u	6_VOWEL	C_VOWEL	4_BACK	0_CLOSED	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	250	595
ũ	6_VOWEL	C_VOWEL	4_BACK	0_CLOSED	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	250	595
ʏ	6_VOWEL	C_VOWEL	1_NEAR_FRONT	1_NEAR_CLOSED	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	300	1685
ʊ	6_VOWEL	C_VOWEL	3_NEAR_BACK	1_NEAR_CLOSED	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	308	933
o	6_VOWEL	C_VOWEL	4_BACK	2_CLOSED_MID	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	360	640
õ	6_VOWEL	C_VOWEL	4_BACK	2_CLOSED_MID	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	360	640
ɵ	6_VOWEL	C_VOWEL	2_CENTRAL	2_CLOSED_MID	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	365	1270
ø	6_VOWEL	C_VOWEL	0_FRONT	2_CLOSED_MID	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	370	1900
ɔ	6_VOWEL	C_VOWEL	4_BACK	4_OPEN_MID	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	500	700
ɞ	6_VOWEL	C_VOWEL	2_CENTRAL	4_OPEN_MID	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	543	1205
œ	6_VOWEL	C_VOWEL	0_FRONT	4_OPEN_MID	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	585	1710
ɒ	6_VOWEL	C_VOWEL	4_BACK	6_OPEN	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	700	760
ɶ	6_VOWEL	C_VOWEL	0_FRONT	6_OPEN	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	820	1530
ʋ	8_APPROX	1_LABIODENTAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
j	7_SEMIVOWEL	7_PALATAL	0_FRONT	0_CLOSED	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	240	2400
ɥ	7_SEMIVOWEL	7_PALATAL	0_FRONT	0_CLOSED	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	235	2100
ɰ	7_SEMIVOWEL	8_VELAR	4_BACK	0_CLOSED	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	300	1390
w	7_SEMIVOWEL	8_VELAR	4_BACK	0_CLOSED	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	250	595
ʕ	7_SEMIVOWEL	A_PHARYNGEAL	4_BACK	6_OPEN	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	750	940
l	8_APPROX	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ɹ	8_APPROX	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ɫ	8_APPROX	4_POST_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ɭ	8_APPROX	6_RETROFLEX	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ɻ	8_APPROX	6_RETROFLEX	5_CONSONANT	7_CONSONANT	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ʎ	8_APPROX	7_PALATAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ʟ	8_APPROX	8_VELAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ⱱ	9_TAP	1_LABIODENTAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɾ	9_TAP	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ɺ	9_TAP	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
ɽ	9_TAP	6_RETROFLEX	5_CONSONANT	7_CONSONANT	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ʙ	A_TRILL	0_BILABIAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
r	A_TRILL	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ʀ	A_TRILL	9_UVULAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ʜ	A_TRILL	A_PHARYNGEAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ʢ	A_TRILL	A_PHARYNGEAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
