ⵏⴽⴽ	nkk	n̪əc(ː)
ⴳⵔⵙ	grs	ʝrəs
ⴰⴼⴼ	aff	æ̝f(ː)
ⵜⴰⴼⵓⴽⵜ	tafukt	θæfu̞çθ
ⴰⵢⵓⵔ	ayur	æju̞r
ⵉⵜⵔⵉ	itri	i̞θri
ⴰⵎⴰⵏ	aman	æmæ̝n̪
ⴰⵏⵥⴰⵔ	anẓar	ɑ̝n̪zˤɑ̝rˤ
ⴰⵙⵉⴼ	asif	æsi̞f
ⴰⴳⵯⵍⵎⴰⵎ	agʷlmam	æɣʷl̩mæ̝m
ⵍⴱⵃⵔ	lbḥr	ləβħr̩
ⵜⵉⵙⵏⵜ	tisnt	θisn̪̩θ
ⴰⵥⵔⵓ	aẓru	ɑ̝zˤrˤʊ̙
ⴰⵍⵅⵉⵅ	alxix	æ̝lχɪ̙̞χ
ⵜⴰⴳⴷⵕⵓⵕⵜ	tagdṛuṛt	t̪ˤɑʝəðˤrˤʊ̙̞rˤt̪ˤ
ⴰⴽⴰⵍ	akal	æçæ̝l
ⵉⵙⴳⵏⵡ	isgnw	isi̞(ʝ)n̪u̞(w)
ⵜⴰⴳⵯⵓⵜⵜ	tagʷutt	θæ̝wːu̞t̪(ː)
ⵉⴳⵏⵏⴰ	ignna	i(ʝ)n̪̩ːɑ
ⴰⵣⵡⵓ	azwu	æ̝zwu
ⴰⴷⴼⵍ	adfl	æ̝θfl̩
ⵉⵡⵔⵉ	iwri	i̞wri
ⴰⴳⴳⵓ	aggu	æ̝ɟːu
ⴰⴼⴰ	afa	æfɑ
ⵉⵖⴷ	iɣd	ɪ̙̞ʁːəð
ⵖⵓⵙ	ɣus	ʁʊ̙̞s
ⴰⴱⵔⵉⴷ	abrid	æ̝βri̞ð
ⵊⵊⴱⵍ	jjbl	d͡ʒːβl̩
ⴰⵣⴳⴳⵯⴰⵖ	azggʷaɣ	æzəɡʷːɑ̝ʁ
ⴰⵣⴳⵣⴰⵡ	azgzaw	æzi̞(ʝ)zæ̝w
ⴰⵡⵔⴰⵖ	awraɣ	æ̝wrɑ̝ʁ
ⵓⵎⵍⵉⵍ	umlil	u̞mli̞l
ⴰⴱⵔⴽⴰⵏ	abrkan	æβr̩çæ̝n̪
ⵉⴹ	iḍ	ɪ̙̞ðˤ
ⴰⵙⵙ	ass	æ̝s(ː)
